Year,Annual Mean Temperature 
1901,8.83
1902,8.85
1903,8.81
1904,8.79
1905,9.0
1906,9.01
1907,8.69
1908,9.35
1909,8.62
1910,8.88
1911,9.39
1912,8.92
1913,9.18
1914,9.35
1915,8.69
1916,8.92
1917,8.45
1918,9.19
1919,8.46
1920,9.23
1921,10.21
1922,8.66
1923,8.91
1924,9.05
1925,8.87
1926,9.5
1927,9.08
1928,9.28
1929,9.11
1930,8.96
1931,9.12
1932,9.36
1933,9.69
1934,9.68
1935,9.32
1936,9.25
1937,9.12
1938,9.62
1939,9.44
1940,9.33
1941,9.02
1942,9.2
1943,9.76
1944,9.54
1945,10.15
1946,9.26
1947,9.22
1948,9.78
1949,10.3
1950,9.16
1951,8.96
1952,9.07
1953,9.7
1954,9.13
1955,9.27
1956,9.05
1957,9.69
1958,9.3
1959,10.07
1960,9.27
1961,9.41
1962,8.59
1963,8.44
1964,9.34
1965,8.69
1966,9.23
1967,9.08
1968,9.18
1969,8.96
1970,9.19
1971,9.71
1972,8.84
1973,9.47
1974,9.09
1975,9.68
1976,9.48
1977,9.21
1978,9.28
1979,8.54
1980,9.13
1981,9.21
1982,9.42
1983,9.69
1984,9.34
1985,8.73
1986,8.36
1987,9.07
1988,9.5
1989,9.96
1990,10.0
1991,9.5
1992,9.44
1993,9.27
1994,9.48
1995,10.01
1996,9.13
1997,10.18
1998,10.0
1999,10.0
2000,9.62
2001,9.54
2002,9.9
2003,10.01
2004,9.89
2005,10.02
2006,10.14
2007,10.27
2008,9.64
2009,9.66
2010,8.71
2011,9.76
2012,9.5
2013,9.49
2014,10.09
2015,9.44
2016,9.75
2017,9.99
2018,9.69
2019,9.86
2020,9.78
2021,9.94
2022,10.35
