Year,Annual Mean Temperature ,Anomoly
1901,8.83,-0.5999999999999996
1902,8.85,-0.5800000000000001
1903,8.81,-0.6199999999999992
1904,8.79,-0.6400000000000006
1905,9.0,-0.4299999999999997
1906,9.01,-0.41999999999999993
1907,8.69,-0.7400000000000002
1908,9.35,-0.08000000000000007
1909,8.62,-0.8100000000000005
1910,8.88,-0.5499999999999989
1911,9.39,-0.03999999999999915
1912,8.92,-0.5099999999999998
1913,9.18,-0.25
1914,9.35,-0.08000000000000007
1915,8.69,-0.7400000000000002
1916,8.92,-0.5099999999999998
1917,8.45,-0.9800000000000004
1918,9.19,-0.2400000000000002
1919,8.46,-0.9699999999999989
1920,9.23,-0.1999999999999993
1921,10.21,0.7800000000000011
1922,8.66,-0.7699999999999996
1923,8.91,-0.5199999999999996
1924,9.05,-0.379999999999999
1925,8.87,-0.5600000000000005
1926,9.5,0.07000000000000028
1927,9.08,-0.34999999999999964
1928,9.28,-0.15000000000000036
1929,9.11,-0.3200000000000003
1930,8.96,-0.46999999999999886
1931,9.12,-0.3100000000000005
1932,9.36,-0.07000000000000028
1933,9.69,0.2599999999999998
1934,9.68,0.25
1935,9.32,-0.10999999999999943
1936,9.25,-0.17999999999999972
1937,9.12,-0.3100000000000005
1938,9.62,0.1899999999999995
1939,9.44,0.009999999999999787
1940,9.33,-0.09999999999999964
1941,9.02,-0.41000000000000014
1942,9.2,-0.23000000000000043
1943,9.76,0.33000000000000007
1944,9.54,0.10999999999999943
1945,10.15,0.7200000000000006
1946,9.26,-0.16999999999999993
1947,9.22,-0.20999999999999908
1948,9.78,0.34999999999999964
1949,10.3,0.870000000000001
1950,9.16,-0.2699999999999996
1951,8.96,-0.46999999999999886
1952,9.07,-0.35999999999999943
1953,9.7,0.2699999999999996
1954,9.13,-0.29999999999999893
1955,9.27,-0.16000000000000014
1956,9.05,-0.379999999999999
1957,9.69,0.2599999999999998
1958,9.3,-0.129999999999999
1959,10.07,0.6400000000000006
1960,9.27,-0.16000000000000014
1961,9.41,-0.019999999999999574
1962,8.59,-0.8399999999999999
1963,8.44,-0.9900000000000002
1964,9.34,-0.08999999999999986
1965,8.69,-0.7400000000000002
1966,9.23,-0.1999999999999993
1967,9.08,-0.34999999999999964
1968,9.18,-0.25
1969,8.96,-0.46999999999999886
1970,9.19,-0.2400000000000002
1971,9.71,0.28000000000000114
1972,8.84,-0.5899999999999999
1973,9.47,0.040000000000000924
1974,9.09,-0.33999999999999986
1975,9.68,0.25
1976,9.48,0.05000000000000071
1977,9.21,-0.21999999999999886
1978,9.28,-0.15000000000000036
1979,8.54,-0.8900000000000006
1980,9.13,-0.29999999999999893
1981,9.21,-0.21999999999999886
1982,9.42,-0.009999999999999787
1983,9.69,0.2599999999999998
1984,9.34,-0.08999999999999986
1985,8.73,-0.6999999999999993
1986,8.36,-1.0700000000000003
1987,9.07,-0.35999999999999943
1988,9.5,0.07000000000000028
1989,9.96,0.5300000000000011
1990,10.0,0.5700000000000003
1991,9.5,0.07000000000000028
1992,9.44,0.009999999999999787
1993,9.27,-0.16000000000000014
1994,9.48,0.05000000000000071
1995,10.01,0.5800000000000001
1996,9.13,-0.29999999999999893
1997,10.18,0.75
1998,10.0,0.5700000000000003
1999,10.0,0.5700000000000003
2000,9.62,0.1899999999999995
2001,9.54,0.10999999999999943
2002,9.9,0.47000000000000064
2003,10.01,0.5800000000000001
2004,9.89,0.46000000000000085
2005,10.02,0.5899999999999999
2006,10.14,0.7100000000000009
2007,10.27,0.8399999999999999
2008,9.64,0.21000000000000085
2009,9.66,0.23000000000000043
2010,8.71,-0.7199999999999989
2011,9.76,0.33000000000000007
2012,9.5,0.07000000000000028
2013,9.49,0.0600000000000005
2014,10.09,0.6600000000000001
2015,9.44,0.009999999999999787
2016,9.75,0.3200000000000003
2017,9.99,0.5600000000000005
2018,9.69,0.2599999999999998
2019,9.86,0.4299999999999997
2020,9.78,0.34999999999999964
2021,9.94,0.5099999999999998
2022,10.35,0.9199999999999999
