Year,Annual Mean Precipitation ,Anomoly
1901,1071.26,-57.52999999999997
1902,1017.68,-111.11000000000001
1903,1370.8,242.01
1904,1085.16,-43.62999999999988
1905,960.97,-167.81999999999994
1906,1020.74,-108.04999999999995
1907,1101.47,-27.319999999999936
1908,1080.17,-48.61999999999989
1909,994.39,-134.39999999999998
1910,1176.0,47.210000000000036
1911,1067.51,-61.27999999999997
1912,1133.28,4.490000000000009
1913,1171.3,42.50999999999999
1914,1176.0,47.210000000000036
1915,1147.14,18.350000000000136
1916,1293.55,164.76
1917,1041.17,-87.61999999999989
1918,1220.37,91.57999999999993
1919,961.95,-166.83999999999992
1920,1261.86,133.06999999999994
1921,957.57,-171.2199999999999
1922,1011.51,-117.27999999999997
1923,1232.65,103.86000000000013
1924,1380.22,251.43000000000006
1925,1094.42,-34.36999999999989
1926,1068.07,-60.72000000000003
1927,1224.1,95.30999999999995
1928,1394.25,265.46000000000004
1929,1204.17,75.38000000000011
1930,1343.4,214.61000000000013
1931,1200.41,71.62000000000012
1932,1077.76,-51.02999999999997
1933,851.38,-277.40999999999997
1934,1151.2,22.410000000000082
1935,1068.51,-60.27999999999997
1936,1125.43,-3.3599999999999
1937,1135.03,6.240000000000009
1938,1260.76,131.97000000000003
1939,1085.78,-43.00999999999999
1940,1152.76,23.970000000000027
1941,1006.18,-122.61000000000001
1942,1100.91,-27.87999999999988
1943,1115.04,-13.75
1944,1128.99,0.20000000000004547
1945,1058.35,-70.44000000000005
1946,1271.18,142.3900000000001
1947,1277.78,148.99
1948,1275.92,147.1300000000001
1949,1061.64,-67.14999999999986
1950,1227.92,99.13000000000011
1951,1210.41,81.62000000000012
1952,938.01,-190.77999999999997
1953,943.57,-185.2199999999999
1954,1291.08,162.28999999999996
1955,1000.95,-127.83999999999992
1956,1114.32,-14.470000000000027
1957,1124.05,-4.740000000000009
1958,1299.94,171.1500000000001
1959,1109.97,-18.819999999999936
1960,1388.42,259.6300000000001
1961,1115.08,-13.710000000000036
1962,1086.0,-42.789999999999964
1963,1062.91,-65.87999999999988
1964,1124.71,-4.079999999999927
1965,1251.3,122.50999999999999
1966,1264.89,136.10000000000014
1967,1151.61,22.819999999999936
1968,1172.02,43.23000000000002
1969,965.37,-163.41999999999996
1970,1117.25,-11.539999999999964
1971,864.01,-264.78
1972,1094.4,-34.38999999999987
1973,1049.56,-79.23000000000002
1974,1195.98,67.19000000000005
1975,944.2,-184.58999999999992
1976,1030.26,-98.52999999999997
1977,1186.23,57.440000000000055
1978,1117.57,-11.220000000000027
1979,1217.04,88.25
1980,1248.28,119.49000000000001
1981,1183.39,54.600000000000136
1982,1294.12,165.32999999999993
1983,1138.95,10.160000000000082
1984,1125.07,-3.7200000000000273
1985,1176.76,47.97000000000003
1986,1273.75,144.96000000000004
1987,1037.14,-91.64999999999986
1988,1235.33,106.53999999999996
1989,1056.7,-72.08999999999992
1990,1193.79,65.0
1991,1074.42,-54.36999999999989
1992,1136.8,8.009999999999991
1993,1232.64,103.85000000000014
1994,1312.17,183.3800000000001
1995,1158.88,30.090000000000146
1996,1146.77,17.980000000000018
1997,1150.4,21.610000000000127
1998,1318.77,189.98000000000002
1999,1264.76,135.97000000000003
2000,1288.24,159.45000000000005
2001,973.28,-155.51
2002,1453.81,325.02
2003,1001.85,-126.93999999999994
2004,1119.15,-9.639999999999873
2005,1099.32,-29.470000000000027
2006,1213.15,84.36000000000013
2007,1103.07,-25.720000000000027
2008,1352.58,223.78999999999996
2009,1382.19,253.4000000000001
2010,1055.1,-73.69000000000005
2011,1175.29,46.5
2012,1218.65,89.86000000000013
2013,1126.59,-2.2000000000000455
2014,1357.32,228.52999999999997
2015,1372.15,243.36000000000013
2016,1128.37,-0.42000000000007276
2017,1178.49,49.700000000000045
2018,1209.96,81.17000000000007
2019,1293.03,164.24
2020,1355.8,227.01
2021,1150.11,21.319999999999936
2022,1152.55,23.75999999999999
